nome,nome_pesquisa,nome_social,nome_social_pesquisa,nascimento,cpf,rg,data_emissao,orgao_emissor,uf_emissao,filiacao,escolaridade,email,telefone,celular,cep,rua,numero,complemento,bairro,cidade,uf,pcd,ps,ja_sorteado,id_turma
Lorenzo Melo,LORENZO MELO,Srta. Maria Alice Araújo,SRTA. MARIA ALICE ARAÚJO,1996-04-04,38239267211,787525497,1994-11-20,IFP,RJ,Lunna Cavalcanti,3,salara@example.com,+55 (061) 5183 4044,+55 00 97491-8714,00949720,Estação Costa,706,,Manacas,Moreira,RS,False,False,False,17
Srta. Esther Rezende,SRTA. ESTHER REZENDE,Vitor da Cunha,VITOR DA CUNHA,1959-05-22,25463167290,286700494,1995-03-16,OAB,RS,Hellena Silveira,2,lais72@example.org,+55 11 7570-0229,+55 (041) 92562 5484,10068379,Ladeira de Brito,14,,Universitário,Rodrigues do Galho,RJ,False,False,False,17
João Gabriel Pereira,JOÃO GABRIEL PEREIRA,,,1989-08-29,20323018149,290397889,1996-03-01,OAB,RJ,Zoe Novais,2,rochavalentina@example.org,+55 (041) 1262-4653,+55 66 9 3423-2351,69097-314,Via de Mendonça,88,,Pirineus,da Paz da Mata,RS,False,False,False,17
Dra. Stella Pinto,DRA. STELLA PINTO,Dr. Nicolas Pacheco,DR. NICOLAS PACHECO,1988-01-21,61720991596,610989803,2004-11-21,DETRAN,PR,Otto Santos,3,zfonseca@example.com,+55 (061) 9052 7739,+55 (96) 9 7530-7228,68841660,Rua Sampaio,38,,Conjunto Santa Maria,Cavalcanti de Sales,RJ,True,True,False,17
Letícia Lima,LETÍCIA LIMA,,,2004-12-12,60478408331,938445884,2002-12-11,OAB,MG,Mirella Ramos,2,sda-luz@example.org,81 0304 6553,+55 59 9 7221 0481,12297084,Lagoa Milena Ribeiro,3,,Vila Da Ária,Borges,MG,False,False,False,17
Letícia Lopes,LETÍCIA LOPES,Rafaela Campos,RAFAELA CAMPOS,1945-08-04,32702850278,251194116,2001-12-06,IFP,SP,Antônio Rocha,6,yasminda-rocha@example.org,0800-604-5825,+55 88 9 3818 5579,11092991,Morro de Pires,97,,Graça,Mendonça das Flores,PR,False,False,False,17
Theo da Conceição,THEO DA CONCEIÇÃO,,,1980-08-05,71411584058,904367341,1996-05-21,OAB,RS,Caroline Jesus,4,ymacedo@example.net,+55 (051) 3622 1935,+55 (67) 9 5558-8010,24371-069,Passarela Montenegro,8,,Laranjeiras,Souza da Praia,RS,False,False,False,17
Dra. Eloah Vieira,DRA. ELOAH VIEIRA,,,1985-03-21,56857447578,642067188,1996-01-03,DETRAN,RS,Sara Cavalcante,2,vianadavi-lucca@example.com,61 8833-8958,+55 16 91662 1587,26098954,Travessa Campos,2,,Santa Margarida,Machado das Flores,RS,False,False,False,17
Sr. Gustavo Oliveira,SR. GUSTAVO OLIVEIRA,,,1972-02-21,31082051020,791048833,2003-10-20,OAB,PR,Maria Fernanda Fogaça,2,luigigoncalves@example.org,+55 (031) 8078-7128,+55 (008) 98783-3149,12258288,Área de Vasconcelos,91,,Virgínia,Dias,RS,False,False,False,17
Sr. Calebe Peixoto,SR. CALEBE PEIXOTO,,,1957-08-02,86888995330,481602035,2002-07-28,OAB,RJ,Ágatha Abreu,3,leaoanthony@example.org,+55 51 3227 7576,+55 (05) 9 4254 8404,59634699,Alameda da Costa,60,,Braúnas,Borges,RS,False,False,False,17
Gael Guerra,GAEL GUERRA,Benício Guerra,BENÍCIO GUERRA,1981-11-13,98533006489,538326820,1999-09-02,DETRAN,RS,Hellena Câmara,7,maria-clara53@example.org,+55 31 6446-2732,+55 (94) 99546 8602,86272389,Viaduto Nathan Pacheco,611,,Marajó,Novais de Silveira,PR,False,False,False,17
Gael Henrique Alves,GAEL HENRIQUE ALVES,,,1987-07-30,00861120744,759219138,2002-08-26,DETRAN,PR,Dr. Pedro Miguel Casa Grande,2,oda-cruz@example.net,(011) 5107 9799,+55 (020) 91666-4121,29275290,Área de Oliveira,52,,Garças,da Cunha da Prata,RJ,True,False,False,17
Ana Luiza Moraes,ANA LUIZA MORAES,,,1990-05-20,42364060982,524295781,1994-09-30,DETRAN,MG,Daniela Moraes,3,pereiraasafe@example.com,+55 11 2938-0210,+55 01 9 3113 8938,84619-087,Favela Ferreira,92,,Lagoinha Leblon,Almeida,SP,True,False,False,17
Dra. Beatriz da Mota,DRA. BEATRIZ DA MOTA,,,1987-05-01,96775695896,110699422,2000-06-13,IFP,RS,Antônio Garcia,4,vicente12@example.org,(041) 0607-0140,+55 (043) 99591-9577,34114087,Campo de Novais,45,,Vila Sesc,Cassiano Paulista,PR,False,False,False,17
Laura Ferreira,LAURA FERREIRA,,,2002-10-15,00704796155,848694817,1999-01-18,OAB,PR,Sra. Aurora Dias,2,isis46@example.org,0900-573-1516,+55 28 9 9536 8906,90973207,Morro Nunes,66,,Vila Nova Paraíso,Garcia Paulista,SP,False,False,False,17
Sra. Bárbara Costela,SRA. BÁRBARA COSTELA,,,1982-01-13,01148468986,302294487,1999-01-12,SSP,RJ,João Guilherme Rezende,3,da-costabarbara@example.com,+55 (071) 4298 5696,+55 32 9 3301-8292,58287-524,Campo Cauê Porto,47,,Vila Da Ária,Costela,SP,False,False,False,17
Emanuel Pacheco,EMANUEL PACHECO,Dr. Arthur Gabriel da Cunha,DR. ARTHUR GABRIEL DA CUNHA,1959-06-29,86952635920,743712829,1995-07-08,SSP,RJ,Bryan Rezende,2,lucas90@example.com,0800 004 9864,+55 (22) 9 0356-3565,59310096,Feira de Nascimento,468,,Dom Joaquim,Duarte,PR,False,False,False,17
Arthur Miguel Porto,ARTHUR MIGUEL PORTO,,,2002-09-24,27815852114,336203819,2003-08-03,DETRAN,RS,Sophie Rocha,7,bryan09@example.org,61 0861-3514,+55 (94) 91512 1771,77661541,Chácara Sophie Almeida,8,,Mariano De Abreu,Caldeira,RS,False,False,False,17
Hadassa Gomes,HADASSA GOMES,Thomas Novais,THOMAS NOVAIS,2010-02-28,47517681311,610312416,2000-11-01,SSP,SP,Mariah Fonseca,7,isis11@example.com,(081) 0306 4067,+55 58 9 3989 8145,05275-961,Lago Cardoso,4,,São Bernardo,Albuquerque do Amparo,MG,True,False,False,17
Henry Vieira,HENRY VIEIRA,,,1979-10-02,70655461604,328990390,2006-03-27,DETRAN,MG,Apollo Gonçalves,4,gporto@example.org,71 8959 3714,+55 (098) 94796 4138,26821387,Parque de Caldeira,945,,Buraco Quente,Caldeira do Oeste,RS,False,False,False,17
Sra. Heloisa Campos,SRA. HELOISA CAMPOS,,,1950-10-06,62366711255,467697600,2006-06-08,DETRAN,PR,Luiz Miguel Pimenta,4,duartelevi@example.org,81 8443 0089,+55 54 9 1553-2605,53939-216,Lagoa Maria Fernanda Cavalcanti,682,,São Benedito,Sales de Barros,PR,False,False,False,17
Yasmin Abreu,YASMIN ABREU,Davi Luiz Campos,DAVI LUIZ CAMPOS,1954-05-01,28409949920,633553617,1997-10-19,DETRAN,MG,Rael Brito,2,matteomendonca@example.net,(061) 9877-2138,+55 (091) 99466 7000,67538-074,Alameda Rodrigo Costela,254,,Flavio Marques Lisboa,Abreu de Goiás,SP,False,False,False,17
Srta. Clarice Vasconcelos,SRTA. CLARICE VASCONCELOS,,,1950-09-19,19261140351,798804940,1994-09-10,SSP,PR,Cecilia Cavalcanti,3,da-conceicaolara@example.net,+55 51 2887 9748,+55 10 9 6443-7029,30307-053,Largo Cirino,59,,Conjunto Califórnia Ii,Ramos do Sul,SP,True,False,False,17
Cecilia da Rocha,CECILIA DA ROCHA,,,1957-10-23,90913951846,668621865,1995-06-15,DETRAN,MG,Igor Pinto,6,iguerra@example.com,(021) 1410 7992,+55 19 9 2722 1907,31470-052,Distrito Sofia Pires,949,,Santa Maria,Monteiro do Norte,RS,True,False,False,17
Bento Silva,BENTO SILVA,,,1969-04-27,44963341271,771103783,2000-03-02,IFP,MG,Catarina Camargo,7,almeidaisabela@example.org,+55 (041) 6938-3418,+55 (89) 9 5966-1357,62729-123,Residencial Vasconcelos,61,,Estrela,Teixeira,PR,False,False,False,17
João Vitor Moraes,JOÃO VITOR MORAES,,,2010-03-19,03966432218,963840340,2001-08-07,IFP,RS,Agatha Araújo,7,zfogaca@example.net,+55 84 2204 9791,+55 (69) 94446 7568,89564654,Residencial Gael Fernandes,16,,Mariquinhas,Câmara Grande,SP,True,False,False,17
Ana Cecília da Rosa,ANA CECÍLIA DA ROSA,,,1955-05-28,57510165806,540099163,1999-09-02,IFP,SP,Sr. Noah Martins,4,agoncalves@example.com,+55 71 6207-4881,+55 (09) 9 3721-7009,72385-686,Pátio Alice da Mota,492,,Olaria,Fogaça,PR,False,False,False,17
Dra. Emanuella da Cunha,DRA. EMANUELLA DA CUNHA,,,1972-06-17,53471478655,,,,,Ana Sophia da Costa,7,henryalmeida@example.net,11 8730 9460,+55 01 94449 1671,05871-534,Feira Isaque da Mota,88,,Betânia,Siqueira,SP,False,False,False,17
Luiz Gustavo Jesus,LUIZ GUSTAVO JESUS,Matheus Vieira,MATHEUS VIEIRA,1947-11-05,97544695638,773139154,2005-03-11,OAB,RS,Brenda Oliveira,6,zcavalcanti@example.net,+55 51 3978 4839,+55 07 9 2693-5118,34347048,Vereda Viana,687,,Alpes,Sales do Amparo,PR,False,False,False,17
Marcela Moraes,MARCELA MORAES,,,2001-07-17,36238453028,995553002,1997-04-07,IFP,MG,Sra. Eloah Rios,3,levilima@example.net,21 9756-1164,+55 (18) 94484 9948,02472-880,Praia Ana Luiza Pinto,7,,Grota,Pinto de Porto,RS,False,False,False,17
Srta. Emilly Barros,SRTA. EMILLY BARROS,,,1951-10-21,11346498512,127549494,1999-08-26,SSP,RJ,Dr. Mathias da Cruz,6,vasconcelosbella@example.net,+55 61 8977-7788,+55 47 92504 6042,01553-154,Chácara Lavínia Fogaça,46,,Vila Vista Alegre,Melo,RS,False,False,False,17
João Lucas Nunes,JOÃO LUCAS NUNES,,,1975-05-02,93281215408,119151945,2000-04-18,SSP,RS,Valentim Sales,5,davi-luizalbuquerque@example.net,+55 (081) 3839 8040,+55 (66) 93051-9577,92153-744,Travessa Otto Teixeira,114,,Anchieta,Almeida do Galho,MG,True,True,False,17
Joana Souza,JOANA SOUZA,,,1999-03-02,73720628612,170897901,2004-06-25,OAB,RS,Benício Dias,6,luiz-gustavoandrade@example.org,+55 51 4968 0868,+55 (099) 95946 7124,22783-068,Trecho Leão,37,,Delta,Pinto do Amparo,RJ,False,False,False,17
Lara Vieira,LARA VIEIRA,,,1946-07-11,80906474566,426531931,1994-08-12,IFP,MG,Kevin Aparecida,2,teixeiraravi@example.com,(021) 1421-4554,+55 (20) 95498-1785,64508704,Quadra Noah das Neves,95,,Vila Paraíso,Vieira do Galho,RS,False,False,False,17
Maria Helena Andrade,MARIA HELENA ANDRADE,,,1987-03-21,08668195093,868023229,2004-11-27,IFP,RJ,Sra. Luiza da Costa,6,thalesfernandes@example.com,71 9060-5707,+55 57 9 7957-5560,85043571,Avenida Danilo da Conceição,86,,Conjunto Floramar,da Mata das Flores,RS,False,False,False,17
Murilo Nogueira,MURILO NOGUEIRA,,,1967-02-23,58884568536,353529064,2004-11-11,SSP,PR,Dra. Caroline Ferreira,4,ryan41@example.com,61 8020 0661,+55 (08) 97701 5381,73928229,Rodovia de da Cunha,8,,Aguas Claras,Cirino,RS,True,False,False,17
Ana Liz Oliveira,ANA LIZ OLIVEIRA,,,1998-09-25,04548161627,,,,,Heloísa Carvalho,7,tandrade@example.net,+55 31 1511-6476,+55 50 97734 5517,14943128,Vila Thomas da Mata,22,,Santo Antônio,Carvalho,RJ,True,False,False,17
Luiza da Mata,LUIZA DA MATA,,,1964-10-11,94399691050,144105419,2000-06-13,IFP,PR,Pietra Gonçalves,2,henrique49@example.org,84 7343-9798,+55 (82) 97337-7746,28420-251,Vereda Mariah Aparecida,58,,Glória,Vargas de da Costa,RS,True,False,False,17
Marcelo Silva,MARCELO SILVA,,,1994-07-04,99247204909,,,,,Eloá da Conceição,5,bda-luz@example.net,41 5790 2727,+55 59 92860 7171,62066383,Vale de Ramos,38,,Leticia,Caldeira,PR,False,True,False,17
Ana Liz Mendes,ANA LIZ MENDES,,,1944-02-15,03620198780,756127617,2006-01-18,OAB,RS,Pedro da Paz,7,opereira@example.org,(061) 9208-7589,+55 (74) 90256-4662,09583-218,Trevo de Azevedo,517,,Lagoinha Leblon,Moraes de Goiás,MG,False,False,False,17
Enzo Gabriel Guerra,ENZO GABRIEL GUERRA,,,1962-10-17,82668071240,,,,,Davi Melo,6,joaquimda-luz@example.com,+55 (021) 4444-6956,+55 (30) 90952 9717,13266-388,Vereda Lucas Aragão,16,,Jaqueline,Fernandes,SP,False,False,False,17
Catarina Duarte,CATARINA DUARTE,,,1972-03-28,55468402858,570888492,2003-12-21,SSP,RJ,Dr. Pedro Lucas Fonseca,7,sophia29@example.net,0300-286-0459,+55 25 9 6642-6656,46315-980,Núcleo Mathias Ferreira,9,,Grotinha,Cardoso da Serra,RJ,False,False,False,17
Srta. Isadora Duarte,SRTA. ISADORA DUARTE,,,1973-03-17,02460440049,,,,,Henry Gabriel Pastor,4,hsilveira@example.net,41 3117-4516,+55 (039) 95922 7797,77880-410,Largo de Costa,89,,Ribeiro De Abreu,Caldeira do Galho,PR,True,False,False,17
Srta. Caroline Pinto,SRTA. CAROLINE PINTO,Gabriela Pimenta,GABRIELA PIMENTA,1979-07-05,42080004140,237170372,1996-03-24,IFP,SP,Liam Lima,3,paulo59@example.com,+55 (011) 6293 4517,+55 (060) 99947-5779,47012-781,Estação Moraes,90,,Vila Fumec,Lopes,MG,True,False,False,17
Luiz Gustavo Gonçalves,LUIZ GUSTAVO GONÇALVES,,,1971-12-11,57728021001,536902300,2003-07-31,SSP,RJ,Liam Dias,6,apeixoto@example.org,(081) 7169 7721,+55 (001) 97272-6786,70892497,Via Beatriz Almeida,38,,Bernadete,Câmara,RS,False,False,False,18
Luiz Henrique Siqueira,LUIZ HENRIQUE SIQUEIRA,,,1948-11-01,51935061437,125644191,2001-02-12,SSP,RS,Yasmin Melo,7,liam53@example.org,+55 (021) 9309 4074,+55 67 93747-9384,29955-026,Sítio Ana Julia Moura,919,,Silveira,Oliveira,MG,False,False,False,18
Pietra Moraes,PIETRA MORAES,,,1953-10-28,38854784630,384617043,2006-04-05,DETRAN,SP,Ágatha Sousa,5,eloah80@example.org,+55 81 9739-9257,+55 (77) 90484-3295,82857-450,Avenida de da Conceição,86,,Aarão Reis,da Mata,RS,False,False,False,18
Vitória Macedo,VITÓRIA MACEDO,,,1952-04-11,76484485569,589624754,1996-11-17,IFP,SP,Sarah Teixeira,6,portoryan@example.net,(071) 7637 9546,+55 (63) 9 9013-6461,49551-202,Vila Caio Camargo,707,,Alta Tensão 2ª Seção,Ferreira de Gonçalves,RJ,False,False,False,18
Allana Gomes,ALLANA GOMES,,,1998-03-21,72134226188,533030329,2006-04-27,OAB,PR,Dra. Hellena Cavalcante,3,joaquimalves@example.com,+55 71 8609 3309,+55 (90) 99006-5744,79157-191,Praça de Sales,13,,Marieta 1ª Seção,das Neves de Minas,SP,False,False,False,18
Dra. Eloah Mendes,DRA. ELOAH MENDES,,,1987-11-29,46490374501,649464097,2001-11-22,IFP,MG,Manuela Moreira,7,xalves@example.org,0500-102-2952,+55 77 9 3515 1068,98230-416,Rodovia Nogueira,7,,Cruzeiro,Oliveira,MG,False,False,False,18
Eloá Sousa,ELOÁ SOUSA,,,1978-11-01,28574758531,645879086,2003-08-06,DETRAN,RJ,Otto Cunha,5,rmacedo@example.com,(021) 2123 5551,+55 87 95974-6035,22161768,Residencial José Miguel Nascimento,2,,Santa Rita De Cássia,Costa,SP,True,False,False,18
Srta. Isabella Moraes,SRTA. ISABELLA MORAES,,,1951-09-19,20661234398,,,,,Allana Ramos,5,emanuellaguerra@example.com,84 7538 9906,+55 (031) 95761-1818,24159402,Núcleo Rezende,8,,Miramar,Pinto,RS,False,False,False,18
Cauê Rios,CAUÊ RIOS,,,2004-12-25,93932349733,612470063,1998-01-13,DETRAN,SP,Dom Vargas,6,fmoura@example.org,(061) 1568 4776,+55 (059) 94394-5645,30900227,Viela de Ferreira,6,,Vila Suzana Primeira Seção,Gomes,MG,False,False,False,18
Eloah Barros,ELOAH BARROS,,,1962-08-12,90364661720,825178482,2005-06-11,DETRAN,RS,Srta. Maria Liz Nunes,7,rrios@example.com,84 1780 3345,+55 (47) 91356 9683,45564-868,Estação Pedro Lucas da Mota,72,,Barreiro,Sousa,SP,False,False,False,18
Natália Cassiano,NATÁLIA CASSIANO,,,1947-01-16,13545509354,837849897,1999-08-21,SSP,RS,Luiz Felipe Carvalho,2,diogo07@example.com,0500 685 0296,+55 (83) 9 2075-4209,65290-260,Aeroporto Ribeiro,64,,Sion,Teixeira da Prata,MG,False,False,False,18
Sara Monteiro,SARA MONTEIRO,,,1953-04-28,29826921556,390560152,2000-08-26,SSP,MG,Manuela Borges,2,marquesana-julia@example.net,+55 (081) 2250 5163,+55 (89) 98827-3951,28737-513,Chácara Alves,13,,Maravilha,Nascimento,PR,False,False,False,18
Ana Sophia Costela,ANA SOPHIA COSTELA,,,1984-08-24,63586480636,,,,,Vinícius Gomes,2,borgessarah@example.com,21 0550 6018,+55 42 9 3425 3227,29518-511,Favela Nicole Nogueira,3,,São João,Costela da Praia,MG,False,False,False,18
Sr. Luiz Otávio Andrade,SR. LUIZ OTÁVIO ANDRADE,,,1986-04-27,84272698460,280445757,2000-10-08,IFP,MG,Leandro Nunes,4,raquel02@example.com,+55 31 3939 5181,+55 (027) 91399-6208,11612140,Praia Alves,12,,Vila Formosa,Pastor,SP,False,False,False,18
Nathan da Rocha,NATHAN DA ROCHA,,,1950-03-21,52444211154,646705337,1996-07-12,IFP,RJ,Yasmin da Mata,7,igorrios@example.com,71 3691 6738,+55 91 97005-7794,67189-391,Jardim Carlos Eduardo da Rocha,4,,Nossa Senhora Aparecida,Novaes,RJ,False,False,False,18
Isaque da Paz,ISAQUE DA PAZ,,,1952-06-28,84772606050,522451712,2006-01-18,DETRAN,RS,Lorena Moreira,4,gustavo-henrique95@example.net,(011) 0041-0605,+55 33 9 2688 2746,02378586,Viela Thales Gonçalves,396,,Vila Fumec,Nascimento do Oeste,SP,False,True,False,18
Luna Viana,LUNA VIANA,Dra. Aurora Vasconcelos,DRA. AURORA VASCONCELOS,1961-10-27,87374250800,,,,,Dra. Hellena Costa,5,pereirasofia@example.com,+55 21 3099-7500,+55 (031) 97978-1395,96155-775,Lago Ravy Abreu,65,,Mariano De Abreu,Costa,PR,True,False,False,18
Dom Viana,DOM VIANA,Rafaela Cunha,RAFAELA CUNHA,1947-01-12,34353889605,,,,,Dr. Thiago Peixoto,2,alana31@example.net,0300-147-9104,+55 (80) 9 7302 9536,08718301,Feira de Freitas,8,,Vila Fumec,Fogaça Verde,RJ,False,False,False,18
Agatha Silva,AGATHA SILVA,Allana Pires,ALLANA PIRES,1957-08-12,06247928386,132742261,1997-02-19,SSP,RJ,Luiz Fernando Marques,4,lauracunha@example.com,+55 (041) 6109-6160,+55 93 9 4178 6590,05628533,Largo de Cavalcanti,68,,São Geraldo,Vasconcelos da Mata,SP,False,False,False,18
Maria Sophia Mendes,MARIA SOPHIA MENDES,,,2006-05-28,88175695692,487788081,2003-11-11,OAB,PR,Sr. Luigi Borges,4,gomesjoao@example.com,+55 (084) 7478 2879,+55 29 9 3049 2382,20437-704,Rua Porto,3,,São Damião,Rocha,RJ,False,False,False,18
João Guilherme Caldeira,JOÃO GUILHERME CALDEIRA,Maria Júlia Borges,MARIA JÚLIA BORGES,1997-08-31,17905320006,,,,,Dra. Maria Júlia Sousa,3,pietro83@example.com,(061) 2138-9477,+55 81 98835-4006,18814-521,Vila Araújo,75,,Biquinhas,Aragão,SP,True,True,False,18
Mariah Sá,MARIAH SÁ,,,1980-07-26,74721412240,508011631,2004-03-20,DETRAN,SP,Maria Julia Cassiano,6,imelo@example.com,+55 (021) 0269 9146,+55 10 91687 6475,21372690,Conjunto João Miguel Rezende,3,,Jaqueline,Rezende do Sul,PR,False,False,False,18
Juan Lopes,JUAN LOPES,,,1988-01-28,46766198630,284538403,1999-02-26,OAB,RS,Breno Rezende,5,pedro44@example.net,0500 141 2348,+55 (029) 95060-4005,63991606,Vila de Farias,69,,Conjunto Floramar,da Mata,PR,False,False,False,18
Mirella Siqueira,MIRELLA SIQUEIRA,,,1964-12-06,45665204633,,,,,Joaquim Farias,4,maysafonseca@example.org,(021) 3525 4625,+55 81 96558 1983,39525038,Trecho Rezende,386,,Vila Nova Gameleira 2ª Seção,Marques dos Dourados,PR,False,False,False,18
Maria Luísa Ramos,MARIA LUÍSA RAMOS,,,1947-03-19,56780624764,206367081,2003-11-01,DETRAN,MG,Emilly Viana,2,daniloda-paz@example.com,+55 (041) 9787 7204,+55 91 96398 4329,95488-140,Estrada Almeida,443,,Vila Calafate,Costa,RJ,False,False,False,18
Brenda da Conceição,BRENDA DA CONCEIÇÃO,,,1981-06-03,43667897367,397163080,2003-05-31,SSP,SP,Anthony Gabriel Cavalcanti,3,ana-beatrizmartins@example.com,+55 (011) 4886-7207,+55 (007) 91364 2035,21208400,Estrada Albuquerque,545,,Conjunto Jatoba,Azevedo,RJ,False,False,False,18
Dra. Maria Clara Caldeira,DRA. MARIA CLARA CALDEIRA,,,1994-08-25,82912185602,,,,,Olivia Vieira,7,ecavalcanti@example.net,+55 71 4305-2751,+55 (033) 90873 2892,95989930,Núcleo Farias,62,,Saudade,Mendes,RS,True,False,False,18
Ian Pereira,IAN PEREIRA,Caroline da Rocha,CAROLINE DA ROCHA,1970-08-10,13458176578,903907450,2004-04-07,OAB,SP,Bernardo Câmara,6,rabreu@example.org,+55 (084) 3829-6273,+55 (69) 91239-0218,08212672,Rodovia de Leão,5,,Lourdes,Borges,RJ,True,False,False,18
Nicole Leão,NICOLE LEÃO,Clarice Porto,CLARICE PORTO,1954-03-20,37094968701,769217509,1999-06-05,DETRAN,SP,Isadora Martins,7,cbarros@example.org,(011) 7025 9749,+55 (50) 96887 7146,78202126,Trevo Lorenzo Pereira,12,,Vista Do Sol,Peixoto do Oeste,RS,False,False,False,18
Sra. Gabrielly Costa,SRA. GABRIELLY COSTA,,,1977-11-08,01398971197,458011012,1999-07-10,DETRAN,PR,Sr. Lucas Macedo,3,bryanmonteiro@example.org,31 5528-4696,+55 (25) 98612-3060,99689-871,Distrito Araújo,848,,Jardim Alvorada,Novais,PR,False,False,False,18
Ana Laura Mendes,ANA LAURA MENDES,,,1962-10-22,78798007513,831422876,2001-03-05,SSP,SP,Dra. Hadassa Pinto,3,zabreu@example.net,(071) 4425 4434,+55 (67) 9 1711-2492,75699-218,Trecho Rael Nunes,624,,Ermelinda,Ramos de Carvalho,SP,False,False,False,18
Ana Lívia Almeida,ANA LÍVIA ALMEIDA,,,1987-06-14,00419767207,265635281,1995-08-01,OAB,MG,Srta. Ana Júlia Viana,5,vianabenicio@example.org,+55 (011) 4131 5203,+55 (13) 9 5165 7799,12116-936,Fazenda Dias,76,,Vila Da Amizade,Garcia,PR,True,False,False,18
Srta. Luana Macedo,SRTA. LUANA MACEDO,Isabel da Rosa,ISABEL DA ROSA,1968-03-23,72867195802,,,,,Emilly Castro,4,da-conceicaoeloah@example.org,0900 837 9525,+55 (058) 91822 7608,83177-584,Núcleo da Conceição,7,,Guaratã,Carvalho do Sul,PR,False,True,False,18
Arthur Gabriel Azevedo,ARTHUR GABRIEL AZEVEDO,Marcela da Rocha,MARCELA DA ROCHA,1988-06-22,74543685229,391870251,2005-07-16,DETRAN,SP,Letícia Camargo,4,acavalcante@example.org,+55 (031) 8043-0111,+55 97 94013 2705,09057-556,Lago Luísa Andrade,611,,Monsenhor Messias,Melo,RS,False,False,False,18
Sra. Ana Júlia da Paz,SRA. ANA JÚLIA DA PAZ,,,1958-01-09,65177285898,337155038,2001-11-25,DETRAN,SP,Maria Fernanda Brito,4,eporto@example.com,0500-090-5713,+55 38 94225 6788,02203-465,Parque Yan Aparecida,2,,Jardim Dos Comerciarios,Cirino,RS,False,False,False,18
Maya Azevedo,MAYA AZEVEDO,,,1978-05-12,01308686471,367238660,2000-01-13,DETRAN,PR,Stella Fonseca,6,jmacedo@example.org,+55 (021) 1933 2840,+55 34 9 4539 7495,01779-698,Recanto de Lopes,81,,Ermelinda,Fonseca do Oeste,RS,True,False,False,18
Valentina Moreira,VALENTINA MOREIRA,,,1968-10-08,36391048118,695546958,1999-09-07,OAB,MG,Vitor Costela,4,tmarques@example.net,0900 010 2099,+55 58 9 5819 9339,69076229,Parque Costela,408,,Vila Calafate,Lopes Grande,SP,False,False,False,18
Heitor Silva,HEITOR SILVA,,,2000-01-30,13930878097,,,,,Valentim da Conceição,4,zmelo@example.net,(021) 9939 1340,+55 (32) 98582 5614,98953558,Vila Melina Brito,99,,Vila Santo Antônio,Casa Grande do Amparo,PR,False,False,False,18
Henry Aragão,HENRY ARAGÃO,,,1991-05-01,43056489628,420449172,1997-05-19,SSP,MG,Gael Rodrigues,6,da-motaeloah@example.net,51 3778 9795,+55 34 9 3829 4853,48539859,Alameda Valentim Macedo,3,,Ambrosina,Barros,PR,False,False,False,18
Sr. Vinícius Ribeiro,SR. VINÍCIUS RIBEIRO,,,1953-01-27,00711179972,,,,,Bento da Cunha,3,beniciocampos@example.com,0800-629-0291,+55 (75) 9 0051-5113,43253816,Área de Cirino,47,,Vila Nova Gameleira 1ª Seção,Costa,RJ,False,False,False,18
Luiz Miguel Martins,LUIZ MIGUEL MARTINS,,,1966-01-17,37943545168,790375382,1995-09-01,DETRAN,PR,Marcelo Mendonça,6,enricosousa@example.net,(031) 1716-1258,+55 (09) 9 3429 4519,33879-311,Vila Luan Leão,907,,Vila Fumec,Borges,RS,False,False,False,18
Srta. Mirella Azevedo,SRTA. MIRELLA AZEVEDO,,,1997-09-20,92973054311,809487278,2002-03-04,IFP,RS,Antônio Moura,2,novaeslucca@example.org,+55 84 8622 6693,+55 (008) 92150 1392,04644-335,Colônia Nascimento,105,,Tirol,Abreu Grande,RJ,False,False,False,18
Asafe Lopes,ASAFE LOPES,Lucca Campos,LUCCA CAMPOS,1982-07-23,01971473057,405266467,1997-09-10,SSP,PR,Dr. Benício Ribeiro,6,duartemarcelo@example.net,61 1809-6363,+55 28 91318-1443,32775-813,Loteamento de da Cruz,76,,São José,da Conceição,RJ,False,False,False,18
Lorena Barros,LORENA BARROS,Sra. Mirella Mendonça,SRA. MIRELLA MENDONÇA,1991-06-05,06210528252,,,,,Yago Borges,7,maysa38@example.com,0900 684 8065,+55 04 99235 3881,58328623,Conjunto Pinto,8,,Candelaria,Camargo,RJ,False,False,False,18
Luara Dias,LUARA DIAS,,,1963-12-14,67259538830,598599848,2003-09-02,OAB,RS,Aylla Gomes,2,diascalebe@example.com,51 5995 1515,+55 (82) 9 0752-5833,84770287,Estação José Freitas,83,,Monsenhor Messias,da Luz,MG,False,False,False,18
Antônio Alves,ANTÔNIO ALVES,,,1970-12-13,93036084371,717798801,2002-10-31,OAB,MG,Anthony da Conceição,5,lbrito@example.net,71 8130 9717,+55 (87) 97130-3142,01779-334,Distrito de Silva,7,,Miramar,Rodrigues,RJ,False,False,False,18
Levi Cirino,LEVI CIRINO,,,1968-05-11,03455402550,103184556,1995-12-11,IFP,RS,Calebe Cassiano,5,camaraelisa@example.com,+55 (084) 6174-8418,+55 (47) 9 2249-5243,37653-097,Chácara José Miguel Brito,58,,Marieta 3ª Seção,Macedo,RS,True,False,False,18
Raul da Rocha,RAUL DA ROCHA,,,1969-04-21,82013975767,,,,,Raquel Martins,2,da-matamaria-liz@example.org,+55 84 9026 6177,+55 (035) 93229-1554,11373-499,Lago Lima,99,,Nossa Senhora De Fátima,Nunes Alegre,RJ,False,False,False,18
